Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
1|Record_ID[476],-0.002,0.351,-0.589,0.54,0.002,0.002,26381.0,18300.0,1.0,Breast,HD95_binary
1|Record_ID[485],-0.101,0.38,-0.718,0.487,0.003,0.002,24927.0,17222.0,1.0,Breast,HD95_binary
1|Record_ID[488],-0.028,0.351,-0.618,0.513,0.002,0.002,29109.0,18850.0,1.0,Breast,HD95_binary
1|Record_ID[496],0.064,0.354,-0.499,0.634,0.002,0.002,27722.0,18223.0,1.0,Breast,HD95_binary
1|Record_ID[499],-0.179,0.394,-0.831,0.39,0.003,0.003,19624.0,16353.0,1.0,Breast,HD95_binary
1|Record_ID[510],-0.099,0.405,-0.76,0.521,0.003,0.003,23547.0,15985.0,1.0,Breast,HD95_binary
1|Record_ID[511],-0.059,0.356,-0.646,0.485,0.002,0.002,25782.0,20845.0,1.0,Breast,HD95_binary
1|Record_ID[512],0.001,0.346,-0.547,0.563,0.002,0.002,31476.0,21969.0,1.0,Breast,HD95_binary
1|Record_ID[522],-0.282,0.424,-0.978,0.303,0.004,0.003,15763.0,16628.0,1.0,Breast,HD95_binary
1|Record_ID[537],-0.115,0.357,-0.708,0.427,0.002,0.002,23340.0,18564.0,1.0,Breast,HD95_binary
1|Record_ID[539],0.075,0.369,-0.488,0.681,0.002,0.002,26131.0,18253.0,1.0,Breast,HD95_binary
1|Record_ID[543],-0.103,0.355,-0.702,0.434,0.002,0.002,26161.0,20508.0,1.0,Breast,HD95_binary
1|Record_ID[560],0.131,0.358,-0.423,0.713,0.002,0.002,25364.0,17235.0,1.0,Breast,HD95_binary
1|Record_ID[567],0.175,0.373,-0.366,0.801,0.003,0.002,23457.0,19389.0,1.0,Breast,HD95_binary
1|Record_ID[570],-0.222,0.411,-0.887,0.369,0.003,0.003,19817.0,17574.0,1.0,Breast,HD95_binary
