Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
1|Record_ID[27],0.165,0.505,-0.631,0.979,0.003,0.003,37008.0,24211.0,1.0,Breast,DSC_binary
1|Record_ID[29],-0.251,0.507,-1.074,0.535,0.003,0.003,32553.0,25664.0,1.0,Breast,DSC_binary
1|Record_ID[31],-0.453,0.522,-1.255,0.374,0.003,0.003,26078.0,22780.0,1.0,Breast,DSC_binary
1|Record_ID[32],0.526,0.563,-0.326,1.399,0.004,0.003,24713.0,23436.0,1.0,Breast,DSC_binary
1|Record_ID[48],0.318,0.509,-0.473,1.14,0.003,0.003,30635.0,25100.0,1.0,Breast,DSC_binary
1|Record_ID[59],0.208,0.491,-0.535,1.016,0.003,0.003,33550.0,24594.0,1.0,Breast,DSC_binary
1|Record_ID[68],0.059,0.528,-0.795,0.898,0.003,0.003,36706.0,23094.0,1.0,Breast,DSC_binary
1|Record_ID[84],-0.11,0.498,-0.92,0.665,0.003,0.003,36339.0,25516.0,1.0,Breast,DSC_binary
1|Record_ID[105],0.192,0.486,-0.55,1.001,0.003,0.003,33041.0,23515.0,1.0,Breast,DSC_binary
1|Record_ID[111],0.232,0.515,-0.541,1.095,0.003,0.003,31565.0,23595.0,1.0,Breast,DSC_binary
1|Record_ID[112],-0.155,0.484,-0.936,0.612,0.002,0.003,38976.0,25152.0,1.0,Breast,DSC_binary
1|Record_ID[113],0.174,0.517,-0.636,1.011,0.003,0.003,34253.0,24250.0,1.0,Breast,DSC_binary
1|Record_ID[120],0.081,0.488,-0.687,0.865,0.003,0.003,35539.0,25422.0,1.0,Breast,DSC_binary
1|Record_ID[122],-0.4,0.538,-1.295,0.392,0.003,0.003,26785.0,20525.0,1.0,Breast,DSC_binary
1|Record_ID[128],0.086,0.502,-0.727,0.87,0.003,0.003,36362.0,24559.0,1.0,Breast,DSC_binary
1|Record_ID[131],0.282,0.506,-0.507,1.096,0.003,0.003,34068.0,25619.0,1.0,Breast,DSC_binary
1|Record_ID[140],-0.193,0.509,-1.033,0.584,0.003,0.003,34948.0,23632.0,1.0,Breast,DSC_binary
1|Record_ID[141],0.434,0.548,-0.418,1.276,0.003,0.003,27392.0,23232.0,1.0,Breast,DSC_binary
1|Record_ID[149],-0.674,0.561,-1.539,0.182,0.004,0.003,19777.0,21895.0,1.0,Breast,DSC_binary
1|Record_ID[150],0.558,0.56,-0.27,1.454,0.004,0.003,22504.0,24472.0,1.0,Breast,DSC_binary
1|Record_ID[151],-0.184,0.49,-0.972,0.583,0.003,0.003,36058.0,24267.0,1.0,Breast,DSC_binary
1|Record_ID[165],0.267,0.5,-0.491,1.094,0.003,0.003,32823.0,24543.0,1.0,Breast,DSC_binary
1|Record_ID[175],-0.195,0.487,-0.986,0.565,0.003,0.003,35190.0,24619.0,1.0,Breast,DSC_binary
1|Record_ID[179],0.437,0.553,-0.398,1.311,0.003,0.003,28992.0,22547.0,1.0,Breast,DSC_binary
1|Record_ID[184],0.06,0.505,-0.76,0.844,0.003,0.003,37690.0,26871.0,1.0,Breast,DSC_binary
1|Record_ID[186],-0.063,0.489,-0.856,0.7,0.002,0.003,39123.0,25144.0,1.0,Breast,DSC_binary
1|Record_ID[192],-0.032,0.506,-0.827,0.787,0.002,0.003,43385.0,24700.0,1.0,Breast,DSC_binary
1|Record_ID[199],0.583,0.567,-0.283,1.445,0.004,0.003,22685.0,21661.0,1.0,Breast,DSC_binary
1|Record_ID[206],-0.324,0.518,-1.155,0.469,0.003,0.003,31527.0,25636.0,1.0,Breast,DSC_binary
1|Record_ID[235],-0.427,0.524,-1.233,0.399,0.003,0.003,24702.0,22399.0,1.0,Breast,DSC_binary
1|Record_ID[239],-0.041,0.493,-0.845,0.728,0.003,0.003,38070.0,23408.0,1.0,Breast,DSC_binary
1|Record_ID[241],-0.62,0.561,-1.509,0.205,0.004,0.003,21765.0,23318.0,1.0,Breast,DSC_binary
1|Record_ID[245],-0.035,0.563,-0.951,0.849,0.003,0.003,31594.0,23998.0,1.0,Breast,DSC_binary
1|Record_ID[247],-0.774,0.582,-1.636,0.13,0.004,0.003,18175.0,22813.0,1.0,Breast,DSC_binary
1|Record_ID[249],0.051,0.486,-0.724,0.829,0.002,0.003,40504.0,24160.0,1.0,Breast,DSC_binary
1|Record_ID[250],-0.021,0.483,-0.815,0.738,0.002,0.003,39557.0,25134.0,1.0,Breast,DSC_binary
1|Record_ID[255],0.146,0.485,-0.639,0.906,0.003,0.003,36332.0,23880.0,1.0,Breast,DSC_binary
1|Record_ID[263],0.216,0.513,-0.576,1.047,0.003,0.003,36570.0,24218.0,1.0,Breast,DSC_binary
1|Record_ID[266],-0.064,0.473,-0.842,0.663,0.003,0.003,35791.0,23527.0,1.0,Breast,DSC_binary
1|Record_ID[268],-0.336,0.516,-1.175,0.44,0.003,0.003,30237.0,20252.0,1.0,Breast,DSC_binary
1|Record_ID[290],-0.071,0.494,-0.842,0.74,0.002,0.003,40042.0,25392.0,1.0,Breast,DSC_binary
